singular;plural;gender;english singular;english plural;level;lesson;tags
Arbeitgeber;Arbeitgeber;m;employer;employers;a1.1;2;work
Ausbildung;Ausbildungen;f;education;educations;a1.1;2;education
Beruf;Berufe;m;profession;professions;a1.1;2;work
Hochschule;Hochschulen;f;college;colleges;a1.1;2;education
Job;Jobs;m;job;jobs;a1.1;2;work
Praktikum;Praktika;n;internship;internships;a1.1;2;education
Schule;Schulen;f;school;schools;a1.1;2;education
Stelle;Stellen;f;place;places;a1.1;2;work
Architekt;Architekten;m;architect;architect;a1.1;2;work
Arzt;Ärzte;m;doctor;doctors;a1.1;2;work, health
Friseur;Friseure;m;hairdresser;hairdresser;a1.1;2;work, fashion
Ingenieur;Ingenieure;m;engineer;engineers;a1.1;2;work, engineering
Journalist;Journalisten;m;journalist;journalisten;a1.1;2;work
Kellner;Kellner;m;waiter;waiter;a1.1;2;work, education
Krankenschwester;Krankenschwestern;f;nurse;nurses;a1.1;2;work, health
Lehrer;Lehrer;m;teacher;teacher;a1.1;2;work, education
Mechatroniker;Mechatroniker;m;mechanic;mechanics;a1.1;2;work, engineering
Student;Studenten;m;student;students;a1.1;2;education
Schauspieler;Schauspieler;m;actor;actors;a1.1;2;work, art
Schüler;Schüler;m;pupil;pupils;a1.1;2;education
Sekretär;Sekretäre;m;secretary;secretarys;a1.1;2;work
Verkäufer;Verkäufer;m;seller;sellers;a1.1;2;work, commerce
Alter;Alter;n;age;ages;a1.1;2;
Familienstand;Familienstände;m;marital status;marital statuses;a1.1;2;
Jahr;Jahre;n;year;years;a1.1;2;time
Kind;Kinder;n;child;children;a1.1;2;person, family
Familie;Familien;f;family;families;a1.1;3;person, family
Vater;Väter;m;father;fathers;a1.1;3;person, family
Mutter;Mütter;f;mother;mothers;a1.1;3;person, family
Sohn;Söhne;m;son;sons;a1.1;3;person, family
Tochter;Töchter;f;daughter;daughters;a1.1;3;person, family
Großvater;Großväter;m;grandfather;grandfathers;a1.1;3;person, family
Enkelin;Enkelinnen;f;granddaughter;granddaughter;a1.1;3;person, family
Enkel;Enkel;m;grandson;grandsons;a1.1;3;person, family
Bruder;Brüder;m;brother;brothers;a1.1;3;person, family
Schwester;Schwestern;f;sister;sisters;a1.1;3;person, family
Geschwister;Geschwister;f;siblings;siblings;a1.1;3;person, family
Bild;Bilder;n;picture;pictures;a1.1;3;household
Freund;Freunde;m;friend;friends;a1.1;3;person, relationshipp
Kollege;Kollegen;m;colleague;colleagues;a1.1;3;work
Partner;Partner;m;partner;partners;a1.1;3;work
Bett;Betten;n;bed;beds;a1.1;4;household
Lampe;Lampen;f;lamp;lamps;a1.1;4;household
Schrank;Schränke;m;cabinet;cabinets;a1.1;4;household
Sessel;Sessel;m;chair;chair;a1.1;4;household
Sofa;Sofas;n;sofa;sofa;a1.1;4;household
Couch ;Couchs;f;couches;couches;a1.1;4;household
Teppich;Teppiche;m;carpet;carpets;a1.1;4;household
Tisch;Tische;m;table;tables;a1.1;4;household
Euro;Euros;m;euro;euros;a1.1;4;money
Cent;Cents;m;cent;cents;a1.1;4;money
Preis;Preise;m;price;prices;a1.1;4;money
Angebot;Angebote;n;offer;offers;a1.1;4;money, commerce
Sonderangebot;Sonderangebot;n;bargain;bargains;a1.1;4;money, commerce
Hilfe;Hilfen;f;servant;servants;a1.1;4;work
Entwickler;Entwickler;m;developer;developers;a1.1;4;work
Farbe;Farben;f;color;colors;a1.1;5;color,
Material;Materialien;n;material;materials;a1.1;5;material
Glas;;n;glass;glass;a1.1;5;material
Holz;;n;wood;;a1.1;5;material
Metall;;n;metal;;a1.1;5;matrial
Papier;;n;paper;;a1.1;5;material
Plastik;;n;plastic;;a1.1;5;material
Bleistift;Bleistifte;m;pencil;pencils;a1.1;5;education, work
Buch;Bücher;n;book;books;a1.1;5;education, work, household
Feuerzeug;Feuerzeuge;n;lighter;lighters;a1.1;5;personal item
Flasche;Flaschen;f;bottle;bottles;a1.1;5;food, household
Fotoapparat;Fotoappare;f;camera;cameras;a1.1;5;household, hobby
Geldbörse;Geldbörsen;f;wallet;wallets;a1.1;5;personal item
Kette;Ketten;f;chain;chains;a1.1;5;personal item
Kugelschreiber;Kugelschreiber;m;pen;pens;a1.1;5;education, work, household, personal item
Regenschirm;Regenschirme;m;umbrella;umbrella;a1.1;5;household, work, computer
Ring;Ringe;m;ring;rings;a1.1;5;personal item, fashion
Schlüssel;Schlüssel;m;key;keys;a1.1;5;household, personal item
Seife;Seifen;f;soap;soap;a1.1;5;household, hygiene
Streicholz;Streichölzer;n;match;matches;a1.1;5;household, personal item
Tasche;Taschen;f;bag;bags;a1.1;5;personal item, household
Uhr;Uhren;f;hour;hours;a1.1;5;time
Adresse;Adressen;f;address;addresses;a1.1;5;address, location
E-Mail;E-Mails;f;email;emails;a1.1;5;household, communication
Fax;Faxe;n;fax;faxes;a1.1;5;work, household, communication
Geburtsdatum;Geburstdaten;n;birthday;birthdays;a1.1;5;time
Hausnummer;Hausnummern;f;address;address;a1.1;5;address, location
Ort;Orte;m;place;places;a1.1;5;address, location
PLZ;PLZen;f;postcode;postcodes;a1.1;5;address, location
Straße;Straßen;f;street;streets;a1.1;5;address, location
Telefon;Telefone;n;telephone;telephones;a1.1;5;address
Entschuldigung;Entschuldigungen;f;apology;apologies;a1.1;5;formality, concept
Menge;Mengen;f;amount;amounts;a1.1;5;work, money, commerce
Problem;Probleme;n;problem;problems;a1.1;5;concept
Produkt;Produkte;n;product;products;a1.1;5;personal item
Wort;Wörte;n;word;words;a1.1;5;language
Wörterbuch;Wörterbücher;n;dictionary;dictionaries;a1.1;5;language
Arbeitsplatz;Arbeitsplätze;m;workplace;workplaces;a1.1;6;work
Bildschirm;Bildschirme;m;monitor;monitor;a1.1;6;work, computer, household
Briefmarke;Briefmarken;f;stamp;stamps;a1.1;6;household, address
Büro;Büros;n;office;offices;a1.1;6;work
Chef;Chefs;m;boss;bosses;a1.1;6;work
Computer;Computer;m;computer;computers;a1.1;6;work, computer, household
Drucker;Drucker;m;printer;printers;a1.1;6;work, computer, household
Firma;Firmen;f;company;companies;a1.1;6;work
Formular;Formulare;n;formula;formulas;a1.1;6;work
Handy;Handys;n;cellphone;cellphone;a1.1;6;personal item, communication
Kalender;Kalender;m;calendar;calendars;a1.1;6;
Laptop;Laptops;m;laptop;laptops;a1.1;6;
Maus;Mäuse;f;mouse;mice;a1.1;6;
Notizbuch;Notizbücher;n;notebook;notebooks;a1.1;6;
Rechnung;Rechnungen;f;bill;bills;a1.1;6;
SMS;SMS;f;sms;sms;a1.1;6;
Stift;Stifte;m;pen;pens;a1.1;6;
Termin;Termine;m;appoinment;appointments;a1.1;6;
Foto;Fotos;n;photo;photos;a1.1;6;
Gruß;Grüße;m;greeting;greetings;a1.1;6;
See;Seen;m;lake;lakes;a1.1;6;
Stress;;m;stress;;a1.1;6;
Telefonnummer;Telefonnummern;f;phone number ;phone numbers;a1.1;6;
Zeit;Zeiten;f;time;;a1.1;6;
Ausflug;Ausflüge;m;trip;trips;a1.1;7;
Film;Filme;m;film;films;a1.1;7;
Freizeit;;f;freetime;;a1.1;7;
Hobby;Hobbys;n;hobby;hobbys;a1.1;7;
Kino;Kinos;n;cinema;cinemas;a1.1;7;
Musik;;f;music;;a1.1;7;
Auto;Autos;n;cars;cars;a1.1;7;
Gespräch;Gespräche;n;conversation;conversations;a1.1;7;
Internet;;n;internet;;a1.1;7;
Natur;;f;nature;;a1.1;7;
Ausstellung;Ausstellungen;f;exhibition;exhibitions;a1.1;8;
Bar;Bars;f;bar ;bar;a1.1;8;
Cafe;Cafes;n;cafe;cafe;a1.1;8;
Disco;Discos;f;disco;disco;a1.1;8;
Kneipe;Kneipen;f;pub;pub;a1.1;8;
Konzert;Konzerte;n;concert;concerts;a1.1;8;
Museum;Museen;n;museum;museums;a1.1;8;
Restaurant;Restaurants;n;restaurant;restaurant;a1.1;8;
Schwimmbad;Shwimmbäder;n;pool;pool;a1.1;8;
Theater;Theater;n;theater;theaters;a1.1;8;
Morgen;Morgen;m;morning;mornings;a1.1;8;
Vormittag;Vormittage;m;mid-morning;mid-mornings;a1.1;8;
Mittag;Mittage;m;noon;noons;a1.1;8;
Nachmittag;Nachmittage;m;afternoon;afternoons;a1.1;8;
Abend;Abende;m;evening;evenings;a1.1;8;
Nacht;Nächte;f;night;nights;a1.1;8;
Tag;Tage;m;day;day;a1.1;8;
Woche;Wochen;f;week;weeks;a1.1;8;
Montag;Montage;m;Monday;Mondays;a1.1;8;
Dienstag;Dienstage;m;Tuesday;Tuesdays;a1.1;8;
Mittwoch;Mittwoche;m;Wednesday;Wednesdays;a1.1;8;
Donnerstag;Donnerstage;m;Thursday;Thursdays;a1.1;8;
Freitag;Freitage;m;Friday;Fridays;a1.1;8;
Samstag;Samstage;m;Saturday;Saturdays;a1.1;8;
Sonntag;Sonntage;m;Sunday;Sundays;a1.1;8;
Essen;Essen;n;food;food;a1.1;8;
Fernsehen;;n;television;;a1.1;8;
Kaffee;;m;coffee;;a1.1;8;
Radio;Radios;n;radio;radios;a1.1;8;
Apfel;Äpfel;m;apple;apples;a1.1;9;
Braten;Braten;m;roast;roast;a1.1;9;
Brötchen;Brötchen;n;bun;buns;a1.1;9;
Butter;;f;butter;;a1.1;9;
Brot;Brote;n;bread;bread;a1.1;9;
Ei;Eier;n;egg;eggs;a1.1;9;
