singular,plural,gender,english singular,english plural,level,lesson
Arbeitgeber,Arbeitgeber,m,employer,employers,a1.1,1
Ausbildung,Ausbildungen,f,education,educations,a1.1,1
Beruf,Berufe,m,profession,professions,a1.1,1
Hochschule,Hochschulen,f,college,colleges,a1.1,1
Job,Jobs,m,job,jobs,a1.1,1
Praktikum,Praktika,n,internshipp,internships,a1.1,1
Schule,Schulen,f,school,schools,a1.1,1
Stelle,Stellen,f,place,places,a1.1,1
Architekt,Architekten,m,architect,architect,a1.1,1
Arzt,Ärzte,m,doctor,doctors,a1.1,1
Friseur,Friseure,m,hairdresser,hairdresser,a1.1,1
Ingenieur,Ingenieure,m,engineer,engineers,a1.1,1
Journalist,Journalisten,m,journalist,journalisten,a1.1,
Kellner,Kellner,m,waiter,waiter,a1.1,
Krankenschwester,Krankenschwestern,f,nurse,nurses,a1.1,
Lehrer,Lehrer,m,teacher,teacher,a1.1,
Mechatroniker,Mechatroniker,m,mechanic,mechanics,a1.1,
Student,Studenten,m,student,students,a1.1,
Schauspieler,Schauspieler,m,actor,actors,a1.1,
Schüler,Schüler,m,pupil,pupils,a1.1,
Sekretär,Sekretäre,m,secretary,secretarys,a1.1,
Verkäufer,Verkäufer,m,seller,sellers,a1.1,
Alter,,n,elder,elders,a1.1,
Familienstand,,m,marial status,,a1.1,
Jahr,Jahre,n,year,years,a1.1,
Kind,Kinder,n,child,children,a1.1,
Familie,Familien,f,family,families,a1.1,
Vater,Väter,m,father,fathers,a1.1,
Mutter,Mütter,f,mother,mothers,a1.1,
Sohn,Söhne,m,son,sons,a1.1,
Tochter,Töchter,f,daughter,daughters,a1.1,
Großvater,Großväter,m,grandfather,grandfathers,a1.1,
Enkelin,Enkelinnen,f,granddaughter,granddaughter,a1.1,
Enkel,Enkel,m,grandson,grandsons,a1.1,
Bruder,Brüder,m,brother,brothers,a1.1,
Schwester,Schwestern,f,sister,sisters,a1.1,
Geschwister,Geschwister,f,siblings,siblings,a1.1,
Bild,Bilder,n,picture,pictures,a1.1,
Freund,Freunde,m,friend,friends,a1.1,
Kollege,Kollegen,m,colleague,colleagues,a1.1,
Partner,Partner,m,partner,partners,a1.1,
Möbel,Möbel,,,,a1.1,
Bett,Betten,n,bed,beds,a1.1,
Lampe,Lampen,f,lamp,lamps,a1.1,
Schrank,Schränke,m,cabinet,cabinets,a1.1,
Sessel,Sessel,m,chair,chair,a1.1,
Sofa,Sofas,n,sofa,sofa,a1.1,
Couch ,Couchs,f,couches,couches,a1.1,
Teppich,Teppiche,m,carpet,carpets,a1.1,
Tisch,Tische,m,table,tables,a1.1,
Euro,Euros,m,euro,euros,a1.1,
Cent,Cents,m,cent,cents,a1.1,
Preis,Preise,m,price,prices,a1.1,
Angebot,Angebote,n,offer,offers,a1.1,
Sonderangebot,Sonderangebot,n,bargain,bargains,a1.1,
Hilfe,Hilfen,f,servant,servants,a1.1,
Entwickler,Entwickler,m,developer,developers,a1.1,
