verb,en_US,separable,irregular,past participle,type,auxiliary,level,chapter,valid
laufen,to run,0,1,gelaufen,,sein,a1.1,1,1
sehen,to see,0,1,gesehen,,haben,a1.1,1,1
gehen,to go,0,1,gegangen,,haben,a1.1,1,1
anfangen,to begin,1,1,angefangen,,haben,a1.1,12,1
aufhören,to stop,1,1,aufgehört,,haben,a1.1,12,1
feiern,to celebrate,0,0,gefeiert,,haben,a1.1,12,1
dauern,to last,0,0,gedauert,,haben,a1.1,12,1
gefallen,to like,0,1,gefallen,,haben,a1.1,12,1
geben,to give,0,1,gegeben,,haben,a1.1,12,1
fliegen,to fly,0,0,geflogen,,sein,a1.1,12,1
springen,to jump,0,0,gesprungen,,sein,a1.1,12,1
studieren,to study,0,0,studiert,,haben,a1.1,12,1
buchstabieren,to spell,0,1,buchstabiert,weak,haben,a1.1,1,1
glauben,to believe,0,0,geglaubt,weak,haben,a1.1,2,1
machen,to make,0,0,gemacht,weak,haben,a1.1,2,1
arbeiten,to work,0,0,gearbeitet,weak,haben,a1.1,2,1
studieren,to study,0,0,studiert,weak,haben,a1.1,2,1
haben,to have,0,1,gehabt,,haben,a1.1,2,1
sprechen,to speak,0,1,gesprochen,strong,haben,a1.1,3,1
kosten,to cost,,,gekostet,,haben,a1.1,4,
brauchen,to need,,,gebraucht,,haben,a1.1,,
finden,to find,,,gefunden,,haben,a1.1,,
sagen,to say,,,gesagt,,haben,a1.1,,
bieten,to offer,,,geboten,,haben,a1.1,,
schreiben,to write,,,geschrieben,,haben,a1.1,,
gehen,to go,,,gegangen,,sein,a1.1,,
suchen,to search,,,gesucht,,haben,a1.1,,
können,to be able to,,,gekonnt,,haben,a1.1,,
rauchen,to smoke,,,geraucht,,haben,a1.1,,
sehen,to see,,,gesehen,,haben,a1.1,,
wissen,to know,,,gewusst,,haben,a1.1,,
kennen,to know,,,gekannt,,haben,a1.1,,
essen,to eat,,,gegessen,,haben,a1.1,,
schmecken,to taste,,,geschmeckt,,haben,a1.1,,
trinken,to drink,,,getrunken,,haben,a1.1,,
anrufen,to call,,,angerufen,,haben,a1.1,,
bekommen,to get,,,bekommen,,haben,a1.1,,
einkaufen,to shop,,,eingekauft,,haben,a1.1,,
fernsehen,to watch tv,,,ferngesehen,,haben,a1.1,,
mitbringen,to bring with,,,mitgebracht,,haben,a1.1,,
nehmen,to take,,,genommen,,haben,a1.1,,
denken,to think,,,gedacht,,haben,a1.1,,
meinen,to mean,,,gemeint,,haben,a1.1,,
schlafen,to sleep,,,geschlafen,,haben,a1.1,,
fliehen,to flee,,,geflohen,,sein,a1.1,,
tanzen,to dance,,,getanzt,,haben,a1.1,,
kochen,to cook,,,gekocht,,haben,a1.1,1,1
tragen,to carry,,,getragen,,haben,a1.1,1,
lesen,to read,,,gelesen,,haben,a1.1,1,
verstehen,to understand,,,verstanden,,haben,a1.1,1,
öffnen,to open,,,geöffnet,,haben,a1.1,1,
schließen,to close,,,geschlossen,,haben,a1.1,1,
spielen,to play,,,gespielt,,haben,a1.1,1,
sitzen,to sit,,,gesessen,,haben,a1.1,1,
stapeln,to stack,,,gestapelt,,haben,a1.1,1,
arrangieren,to arrange,,,arrangiert,,haben,a1.1,1,
organisieren,to organize,,,organisiert,,haben,a1.1,1,
beschützen,to protect,1,,beschützt,,haben,a1.1,1,
bestellen,to order,,,bestellt,,haben,a1.1,1,
stellen,to put,,,gestelt,,haben,a1.1,1,
legen,to put,,,gelegt,,haben,a1.1,1,
drehen,to turn,,,gedreht,,haben,a1.1,1,
lachen,to laugh,,,gelacht,,haben,a1.1,1,
weinen,to cry,,,geweint,,haben,a1.1,1,
kämpfen,to fight,,,gekämpft,,haben,a1.1,1,
streiten,to argue,,,gestritten,,haben,a1.1,1,
küssen,to kiss,,,geküsst,,haben,a1.1,1,
hören,to hear,,,gehört,,haben,a1.1,1,
wählen,to pick,,,gewählt,,haben,a1.1,1,
klettern,to climb,,,geklettert,,haben,a1.1,1,
wandern,to hike,,,gewandert,,haben,a1.1,1,
duschen,to shower,,,geduscht,,haben,a1.1,1,
waschen,to wash,,,gewaschen,,haben,a1.1,1,
umdrehen,to flip,,,umgedreht,,haben,a1.1,1,
überzeugen,to coerce,,,überzeugt,,haben,a1.1,1,
hoffen,to hope,,,gehofft,,haben,a1.1,1,
verderben,to spoil,,,verdorben,,sein,a1.1,1,
besiegen,to defeat,,,besiegt,,haben,a1.1,1,
bezaubern,to entrance,,,bezaubert,,haben,a1.1,1,
pinkeln,to urinate,,,gepinkelt,,haben,a1.1,1,
wegwerfen,to throw away,,,weggeworfen,,haben,a1.1,1,
